country,cluster_km_4,inertia
Maldives,3,13.976559536367285
Angola,3,10.921920453259625
Viet Nam,3,10.684739138263579
Bhutan,3,7.084813490274064
Timor-Leste,3,6.4682995406588155
Sudan,3,6.396201091503814
Congo,3,6.300609190186049
Niger,3,6.1550670836723755
Vanuatu,3,5.879650404830489
Haiti,3,5.64571927518475
Burundi,3,5.613087604938034
Democratic Republic of the Congo,3,5.372557859136214
Ethiopia,3,5.357551089173719
Lesotho,3,4.593546721510457
Nigeria,3,4.459513126597637
Zambia,3,4.2204820352661745
Namibia,3,4.170245730749523
Eswatini,3,3.8621269584743807
Pakistan,3,3.5722485725002975
Mauritania,3,3.4086679586393576
Guatemala,3,3.398934446546915
Cameroon,3,3.26951238139776
Chad,3,2.9947260487208944
Cambodia,3,2.709249773399892
Honduras,3,2.233031402795243
Sri Lanka,3,2.22612672967181
Rwanda,3,2.2069170742015642
Tajikistan,3,2.1528390409581064
Ghana,3,2.1485795193237256
Nepal,3,2.0614861512986793
Bangladesh,3,2.0393422232008396
Gambia,3,1.9815190118011994
Madagascar,3,1.9662188206154971
Indonesia,3,1.711643519359711
United Republic of Tanzania,3,1.6162361951602664
Benin,3,1.5889980700155828
Comoros,3,1.5428865672230188
Uganda,3,1.4903468815962606
Sierra Leone,3,1.4068416742617387
Togo,3,1.3633005541286198
Kenya,3,1.3001340102465473
Guinea-Bissau,3,1.2759847323164182
Thailand,3,1.2745942876674425
Côte d'Ivoire,3,1.2036676466356746
Guinea,3,1.1142414757859627
Senegal,3,1.1047862808965734
Philippines,3,1.0756616748813417
India,3,0.7568120015356969
Zimbabwe,3,0.5755978797389913
