country,urban_pop_%,gdp_growth_%,gdp_per_cap_US$,trade_%_gdp,net_imports_poultry_US$,safety_stability_index,poultry_consumption_kg_per_cap,total_protein_g_cap_day,animal_protein_g_cap_day,poultry_protein_g_cap_day,obesity_deaths_%
Albania,0.6374113181405787,-1.752778,5278.222282,60.96992111,30260000.0,0.08,14.282360180114123,109.98,59.114933,5.58,12.87
Algeria,0.7353207124440292,-15.147118,3354.153164,45.84199142,26264000.0,-0.86,5.9767786579230355,88.32,24.795826,1.75,17.06
Angola,0.6562353334289603,-29.625968,1750.204252,66.90747833,196303000.0,-0.52,8.065120809393546,43.94,12.004645,2.77,5.22
Argentina,0.9308070702143564,-13.894724,8560.70994,30.14814186,-223375000.0,0.04,45.36371921043133,112.36999999999999,68.49207,14.379999999999999,10.38
Armenia,0.6631553659670203,-7.177995,4505.867744,69.49099731,33339000.0,-0.57,16.29736228297039,97.62,48.53165,5.3,15.37
Australia,0.8532785930187673,4.045297,55774.158298,44.03952789,-50181000.0,0.85,47.01891203878012,108.73,74.88029,16.450000000000003,10.72
Austria,0.5791972565096769,-2.113246,48859.018137,99.99893951,-9041000.0,0.85,14.740035589126222,102.04,63.222286,6.39,10.44
Azerbaijan,0.553812069692894,-11.377939,4151.016373,72.16293335,35518000.0,-0.73,13.69564619218896,97.72,35.21373,4.699999999999999,16.61
Bangladesh,0.3871376468289205,6.892618,2231.271634,30.51946449,21819000.0,-0.92,1.2589335966679582,53.620000000000005,12.817408,0.43,4.66
Belarus,0.7768152347893964,-4.717424,6370.492501,120.6823502,-248066000.0,-0.73,31.42883553012641,100.62,60.92099,10.809999999999999,15.4
Belgium,0.9857337798529405,-1.981794,45426.800422,158.6213989,-385551000.0,0.59,11.395380115254508,98.71,65.76835,3.99,7.41
Benin,0.4642288934466587,8.998637,1240.733155,44.83323288,44782000.0,-0.44,5.169536039473791,61.89,11.180508,1.67,7.01
Bhutan,0.4575304269481402,-8.685347,2997.306607,76.2407074,2393000.0,1.02,3.9639303772397882,87.59,31.423265,1.34,6.81
Bolivia (Plurinational State of),0.6781890192174,-10.430237,3068.812555,45.67144394,12137000.0,-0.47,39.72010014609387,74.37,33.876312,12.9,11.77
Bosnia and Herzegovina,0.5167569861080934,-1.246481,6012.166078,83.00364685,3791000.0,-0.51,19.589902624964328,100.03999999999999,36.60065,6.71,14.87
Botswana,0.6724044357489509,-10.577149,5863.182051,77.13946533,8981000.0,1.09,3.7375284813631153,71.83,26.717148,1.52,12.05
Brazil,0.8734535566807949,-23.008367,6794.515851,32.35429764,-5548997000.0,-0.42,45.82004385967216,90.73,55.603397,14.799999999999999,12.03
Bulgaria,0.7526730594948543,1.922257,10064.072069,109.1775284,43208000.0,0.47,19.827588504371935,76.41,40.75967,8.22,17.82
Burundi,0.13392435345104473,7.320693,295.831964,32.90127563,52000.0,-1.41,0.5467451627535234,40.269999999999996,2.6953228,0.19,3.06
Cambodia,0.24702650385500638,-6.667337,1542.444792,123.8104019,3490000.0,-0.24,2.061657536869864,50.480000000000004,20.178764,0.7000000000000001,4.39
Cameroon,0.5640207591330624,2.857184,1540.308611,33.26116943,4266000.0,-1.53,3.3039055739766354,66.99,11.513755,1.11,9.48
Canada,0.809477758609063,-5.516713,43427.80805,60.78253174,179103000.0,1.11,36.094417848274304,101.36,59.379425,12.51,10.02
Chad,0.23011888288050353,-2.548093,895.753966,68.0088501,2984000.0,-1.26,0.47508092815845715,75.04,27.108818,0.16,3.4
Chile,0.8396533424454471,-9.281748,13094.459432,57.84183502,-154812000.0,0.07,33.4271995042568,88.65,47.888756,10.709999999999999,12.06
"China, Hong Kong SAR",1.0062250715175316,-4.991506,45984.788703,351.6640015,736062000.0,0.09,53.82260372608405,124.06,107.82283,20.259999999999998,6.39
"China, Macao SAR",0.9639086003936223,-53.652294,37833.61853,121.2518921,76217000.0,1.15,38.405046408086555,84.48,63.034145,14.31,6.39
"China, mainland",0.6141186258216046,2.855595,10307.69639,34.50688934,3042202000.0,0.62,10.831562232609413,96.16,42.030323,3.61,6.39
Colombia,0.8028954345812351,-16.344165,5307.215227,33.65364838,87303000.0,-0.67,33.665217624699245,69.81,37.75456,10.08,10.23
Congo,0.6764705882352942,-18.795729,1838.448108,110.0669785,109862000.0,-0.9,21.39375964325185,44.6,24.870285,7.46,9.56
Costa Rica,0.7952626385756294,-3.507832,12132.877819,61.32834625,13641000.0,0.76,33.68319798247352,78.91,48.464226,10.03,11.25
Côte d'Ivoire,0.5047149780003498,4.798414,2288.11948,42.01533508,4932000.0,-0.98,2.8780823660039117,55.74,15.446145,0.99,6.23
Croatia,0.5782058391922805,-7.790995,14028.277563,90.80771637,12731000.0,0.61,12.205714218764188,88.6,56.204975,4.5,14.42
Czechia,0.7478210186675412,-2.602918,23357.293371,135.1522827,113842000.0,0.92,22.184611402215925,87.65,57.770393,7.260000000000001,14.83
Democratic Republic of the Congo,0.43992520276422675,-4.251888,487.949476,58.49134445,74074000.0,-1.71,1.8761564226287433,27.8,3.1637197,0.78,4.89
Denmark,0.8767967336126616,2.517675,60975.684822,103.3122482,-57604000.0,0.94,22.41262034512597,100.9,72.74008,9.899999999999999,7.35
