Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2000","2000","1000 No","20130.327","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2000","2000","1000 No","10094.646","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2000","2000","1000 No","10035.682","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2000","2000","1000 No","15657.474","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2000","2000","1000 No","4436.282","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2001","2001","1000 No","20284.307","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2001","2001","1000 No","10179.792","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2001","2001","1000 No","10104.514","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2001","2001","1000 No","16318.324","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2001","2001","1000 No","4648.139","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2002","2002","1000 No","21378.117","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2002","2002","1000 No","10737.198","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2002","2002","1000 No","10640.919","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2002","2002","1000 No","17086.91","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2002","2002","1000 No","4893.013","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2003","2003","1000 No","22733.049","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2003","2003","1000 No","11426.685","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2003","2003","1000 No","11306.364","X","Chiffre de sources internationales",""
