Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","28","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","36","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","64","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","64","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","1887","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","425","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","-69","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","49","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","2331","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","2331","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","14","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","27","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","40","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","40","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","258","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","258","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","4","Algérie","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","258","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","1572","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","767","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","159","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","575","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","1603","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","1509","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","7","Angola","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","52","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","7","Angola","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","226","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","7","Angola","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","7","Angola","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","278","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","7","Angola","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","278","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","6","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","6","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","6","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","900","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","631","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","36","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","1496","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","1496","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","2264","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","6","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","182","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","2088","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","2088","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","12","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","33","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","46","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","1","Arménie","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","46","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","10","Australie","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","1282","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","10","Australie","5611","Importations - quantité","2734","Viande de Volailles","2020","2020","1000 t","2","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","10","Australie","5072","Variation de stock","2734","Viande de Volailles","2020","2020","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","10","Australie","5911","Exportations - quantité","2734","Viande de Volailles","2020","2020","1000 t","42","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilité intérieure","2734","Viande de Volailles","2020","2020","1000 t","1242","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","10","Australie","5142","Nourriture","2734","Viande de Volailles","2020","2020","1000 t","1242","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5511","Production","2734","Viande de Volailles","2020","2020","1000 t","143","I","Valeur imputée",""
