Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","2","Afghanistan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","12848","E","Valeur estimée",""
"QCL","Cultures et produits animaux","202","Afrique du Sud","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","168993","I","Valeur imputée",""
"QCL","Cultures et produits animaux","3","Albanie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","6774","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","4","Algérie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","192589","I","Valeur imputée",""
"QCL","Cultures et produits animaux","79","Allemagne","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","159118","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","7","Angola","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","38847","E","Valeur estimée",""
"QCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","157","I","Valeur imputée",""
"QCL","Cultures et produits animaux","194","Arabie saoudite","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","205752","I","Valeur imputée",""
"QCL","Cultures et produits animaux","9","Argentine","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","118463","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","1","Arménie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4396","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","10","Australie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","100894","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","11","Autriche","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","16857","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","52","Azerbaïdjan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","30176","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","12","Bahamas","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","3263","I","Valeur imputée",""
"QCL","Cultures et produits animaux","13","Bahreïn","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1500","E","Valeur estimée",""
"QCL","Cultures et produits animaux","16","Bangladesh","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","296602","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","14","Barbade","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4843","I","Valeur imputée",""
