Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","2","Afghanistan","511","Population totale","1","Population totale","2020","2020","1000 No","38972.23","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","202","Afrique du Sud","511","Population totale","1","Population totale","2020","2020","1000 No","58801.93","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","3","Albanie","511","Population totale","1","Population totale","2020","2020","1000 No","2866.85","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","4","Algérie","511","Population totale","1","Population totale","2020","2020","1000 No","43451.67","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","79","Allemagne","511","Population totale","1","Population totale","2020","2020","1000 No","83328.99","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","7","Angola","511","Population totale","1","Population totale","2020","2020","1000 No","33428.49","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","8","Antigua-et-Barbuda","511","Population totale","1","Population totale","2020","2020","1000 No","92.66","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","194","Arabie saoudite","511","Population totale","1","Population totale","2020","2020","1000 No","35997.11","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","9","Argentine","511","Population totale","1","Population totale","2020","2020","1000 No","45036.03","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","1","Arménie","511","Population totale","1","Population totale","2020","2020","1000 No","2805.61","X","Chiffre de sources internationales","Chiffre non officiel"
