Code Domaine,Domaine,Code zone (FAO),Zone,Code indicateur,Indicateur,Code sexe,Sexe,Code année,Année,Code Élément,Élément,Code source,Source,Unité,Valeur,Symbole,Description du Symbole,Note
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","202","Afrique du Sud","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","3778.67","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","79","Allemagne","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","453.21","X","Chiffre de sources internationales","Break in series: Methodology revised | Remarks: Data will be revised once more in May or June (for more information, refer to https://ec.europa.eu/eurostat/documents/10186/6246844/LFS-2020-Note-on-German-data.pdf) Repository: Eurostat special tabulation"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","44.89","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3021","Household income and expenditure survey","1000 No","361.06","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","10","Australie","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3021","Household income and expenditure survey","1000 No","314.85","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","11","Autriche","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","150.4","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","57","Bélarus","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","431.57","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","255","Belgique","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","42.82","X","Chiffre de sources internationales","Repository: Eurostat special tabulation"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","18","Bhoutan","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","155.75","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","19","Bolivie (État plurinational de)","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3021","Household income and expenditure survey","1000 No","1608.33","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","80","Bosnie-Herzégovine","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","119.51","X","Chiffre de sources internationales","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","20","Botswana","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3022","Household survey","1000 No","163.37","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","21","Brésil","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3022","Household survey","1000 No","7375.36","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","26","Brunéi Darussalam","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","1.86","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","27","Bulgarie","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","176.49","X","Chiffre de sources internationales","Repository: Eurostat special tabulation"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","29","Burundi","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3021","Household income and expenditure survey","1000 No","4212.2","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","115","Cambodge","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3021","Household income and expenditure survey","1000 No","3102.49","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","40","Chili","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3022","Household survey","1000 No","415.38","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","50","Chypre","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","10.08","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","44","Colombie","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","3011.65","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","48","Costa Rica","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","323.54","X","Chiffre de sources internationales","Repository: ILO-STATISTICS - Micro data processing"
