Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","39068.979","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","19725.45","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","19343.528","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","28150.604","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","2","Afghanistan","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","9904.337","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","60562.381","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","29381.179","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","31181.201","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","19170.34","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","202","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","39550.889","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","2871.954","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","1421.407","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","1450.547","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","1114.672","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","3","Albanie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","1827.362","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","4","Algérie","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","44042.091","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","4","Algérie","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","22490.324","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","4","Algérie","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","21551.767","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","4","Algérie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","11382.345","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","4","Algérie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","31950.91","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","83628.708","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","41291.235","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","42337.474","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","18610.145","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","79","Allemagne","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","63930.305","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","77.38","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","39.386","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","37.994","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","9.327","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","6","Andorre","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","67.857","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","33451.132","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","16539.639","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","16911.494","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","10890.448","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","7","Angola","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","21936.953","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","14.843","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","7.257","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","7.586","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","0","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","258","Anguilla","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","15.283","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","91.846","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","43.667","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","48.178","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","79.428","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","25.682","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","30991.207","X","Chiffre de sources internationales",""
