Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","97.94","I","Valeur imputée"
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","92.68","I","Valeur imputée"
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","91.02","I","Valeur imputée"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","11582","A","Chiffre officiel"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","11582","A","Chiffre officiel"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","703.7","A","Chiffre officiel"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","68.09","I","Valeur imputée"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","122.67","I","Valeur imputée"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","26544","A","Chiffre officiel"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","26544","A","Chiffre officiel"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","1612.7","A","Chiffre officiel"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","124.13","I","Valeur imputée"
"PP","Prix à la Production","3","Albanie","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","381569.4","A","Chiffre officiel"
"PP","Prix à la Production","3","Albanie","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","381569.4","A","Chiffre officiel"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","3511.9","A","Chiffre officiel"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","105.69","I","Valeur imputée"
"PP","Prix à la Production","3","Albanie","5530","Prix à la Production (LCU/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","309230","A","Chiffre officiel"
"PP","Prix à la Production","3","Albanie","5531","Prix à la Production (SLC/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","309230","A","Chiffre officiel"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","2846.1","A","Chiffre officiel"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","84.45","I","Valeur imputée"
"PP","Prix à la Production","3","Albanie","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","104.85","I","Valeur imputée"
"PP","Prix à la Production","4","Algérie","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","200000","A","Chiffre officiel"
"PP","Prix à la Production","4","Algérie","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","200000","A","Chiffre officiel"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","1577.6","A","Chiffre officiel"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","109.42","I","Valeur imputée"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","107.19","I","Valeur imputée"
"PP","Prix à la Production","4","Algérie","5530","Prix à la Production (LCU/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","234567.3","A","Chiffre officiel"
"PP","Prix à la Production","4","Algérie","5531","Prix à la Production (SLC/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","234567.3","A","Chiffre officiel"
