Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","61.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","10.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","2776.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-2.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","116.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","61.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","14794.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.09","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","95.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","26.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","12677.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.85","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","016","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.09","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","55260.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.59","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","48.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","14.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","024","Angola","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","7562.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","92.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","62.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","23704","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.93","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","117.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","73.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","032","Argentina","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","23785.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.07","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","107.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","55","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","15889.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","051","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.77","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","036","Australia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","121.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","81.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","56298.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","036","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.86","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","040","Austria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","109.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","66.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","61108.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","040","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.89","X","Figure from international organizations",""
