Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","39068.979","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","19725.45","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","19343.528","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","28150.604","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","9904.337","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","2871.954","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","1421.407","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","1450.547","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","1114.672","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","1827.362","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","44042.091","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","22490.324","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","21551.767","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","11382.345","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","31950.91","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","49.761","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","25.17","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","24.591","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","7.169","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","48.63","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","77.38","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","39.386","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","37.994","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","9.327","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","67.857","X","Figure from international organizations",""
"OA","Annual population","024","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","33451.132","X","Figure from international organizations",""
"OA","Annual population","024","Angola","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","16539.639","X","Figure from international organizations",""
"OA","Annual population","024","Angola","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","16911.494","X","Figure from international organizations",""
"OA","Annual population","024","Angola","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","10890.448","X","Figure from international organizations",""
"OA","Annual population","024","Angola","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","21936.953","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","14.843","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","7.257","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","7.586","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","0","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","15.283","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","91.846","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","43.667","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","48.178","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","79.428","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","25.682","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","45191.964","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","22419.484","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","22772.48","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","3590.542","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","41919.857","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","2890.892","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","1336.435","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","1554.457","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","1078.125","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","1860.554","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","107.4","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","50.645","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","56.755","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","59.927","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","46.511","X","Figure from international organizations",""
"OA","Annual population","036","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","25743.791","X","Figure from international organizations",""
"OA","Annual population","036","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","12773.754","X","Figure from international organizations",""
"OA","Annual population","036","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","12970.037","X","Figure from international organizations",""
"OA","Annual population","036","Australia","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","3494.472","X","Figure from international organizations",""
"OA","Annual population","036","Australia","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","21903.705","X","Figure from international organizations",""
"OA","Annual population","040","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","8921.405","X","Figure from international organizations",""
"OA","Annual population","040","Austria","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","4389.081","X","Figure from international organizations",""
"OA","Annual population","040","Austria","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","4532.324","X","Figure from international organizations",""
"OA","Annual population","040","Austria","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","3622.85","X","Figure from international organizations",""
"OA","Annual population","040","Austria","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","5159.36","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","10181.73","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","4980.263","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","5201.467","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","4403.813","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","5695.93","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","395.863","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","189.876","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","205.987","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","68.165","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","338.674","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","1483.077","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","924.113","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","558.964","X","Figure from international organizations",""
