country_code,zone,disponibilite_interieure,exportations_-_quantite,importations_-_quantite,nourriture,production,variation_de_stock
1,Arménie,46.0,0.0,33.0,46.0,12.0,0.0
10,Australie,1242.0,42.0,2.0,1242.0,1282.0,0.0
100,Inde,4515.0,4.0,0.0,4516.0,4519.0,0.0
101,Indonésie,3682.0,0.0,0.0,3682.0,3683.0,1.0
102,Iran (République islamique d'),2438.0,6.0,3.0,2439.0,2441.0,0.0
103,Iraq,601.0,2.0,447.0,601.0,157.0,0.0
104,Irlande,166.0,96.0,85.0,143.0,166.0,-11.0
105,Israël,660.0,4.0,0.0,659.0,665.0,1.0
106,Italie,1284.0,178.0,84.0,1242.0,1382.0,4.0
107,Côte d'Ivoire,72.0,0.0,1.0,72.0,71.0,0.0
108,Kazakhstan,394.0,13.0,193.0,394.0,237.0,23.0
109,Jamaïque,157.0,1.0,31.0,157.0,124.0,-4.0
11,Autriche,157.0,83.0,100.0,142.0,143.0,3.0
110,Japon,2926.0,10.0,1063.0,2876.0,2332.0,459.0
112,Jordanie,266.0,7.0,56.0,266.0,218.0,0.0
113,Kirghizistan,37.0,0.0,30.0,37.0,9.0,2.0
114,Kenya,69.0,0.0,1.0,69.0,69.0,1.0
115,Cambodge,30.0,,3.0,30.0,28.0,1.0
117,République de Corée,1169.0,56.0,176.0,1169.0,1050.0,0.0
118,Koweït,199.0,8.0,144.0,199.0,63.0,0.0
119,Lettonie,48.0,18.0,49.0,48.0,35.0,18.0
12,Bahamas,30.0,,31.0,28.0,6.0,8.0
120,République démocratique populaire lao,45.0,0.0,4.0,45.0,41.0,0.0
121,Liban,118.0,4.0,5.0,118.0,117.0,0.0
122,Lesotho,4.0,,3.0,4.0,1.0,0.0
123,Libéria,56.0,0.0,42.0,56.0,15.0,0.0
124,Libye,223.0,,96.0,223.0,127.0,0.0
126,Lituanie,77.0,62.0,55.0,75.0,101.0,16.0
127,Îles Marshall,3.0,0.0,3.0,3.0,,0.0
128,Chine - RAS de Macao,25.0,,29.0,25.0,3.0,8.0
129,Madagascar,87.0,0.0,0.0,87.0,87.0,0.0
13,Bahreïn,77.0,1.0,71.0,75.0,7.0,0.0
130,Malawi,104.0,0.0,0.0,104.0,104.0,0.0
131,Malaisie,1731.0,43.0,71.0,1731.0,1703.0,0.0
132,Maldives,8.0,0.0,11.0,8.0,,3.0
133,Mali,57.0,0.0,1.0,57.0,58.0,2.0
134,Malte,13.0,0.0,9.0,13.0,4.0,0.0
136,Mauritanie,27.0,,35.0,27.0,4.0,12.0
137,Maurice,51.0,0.0,4.0,51.0,48.0,0.0
138,Mexique,4611.0,3.0,1018.0,4611.0,3596.0,0.0
14,Barbade,15.0,0.0,3.0,15.0,12.0,0.0
141,Mongolie,14.0,0.0,16.0,14.0,1.0,2.0
143,Maroc,639.0,1.0,5.0,639.0,635.0,0.0
144,Mozambique,151.0,0.0,27.0,151.0,124.0,0.0
145,Micronésie (États fédérés de),5.0,,4.0,5.0,0.0,0.0
146,République de Moldova,69.0,0.0,24.0,69.0,46.0,0.0
147,Namibie,25.0,15.0,30.0,25.0,11.0,0.0
148,Nauru,1.0,,1.0,1.0,0.0,0.0
149,Népal,255.0,,0.0,255.0,255.0,0.0
150,Pays-Bas (Royaume des),214.0,1361.0,569.0,143.0,1006.0,0.0
153,Nouvelle-Calédonie,12.0,0.0,11.0,12.0,1.0,0.0
154,Macédoine du Nord,42.0,1.0,41.0,42.0,1.0,0.0
155,Vanuatu,5.0,,4.0,5.0,1.0,0.0
156,Nouvelle-Zélande,207.0,12.0,1.0,125.0,219.0,0.0
157,Nicaragua,150.0,0.0,10.0,150.0,140.0,0.0
158,Niger,24.0,,4.0,24.0,20.0,0.0
159,Nigéria,242.0,0.0,0.0,242.0,241.0,0.0
16,Bangladesh,270.0,,0.0,270.0,269.0,0.0
162,Norvège,110.0,0.0,3.0,108.0,107.0,0.0
165,Pakistan,1339.0,7.0,0.0,1340.0,1662.0,316.0
166,Panama,227.0,1.0,18.0,226.0,212.0,1.0
167,Tchéquie,267.0,19.0,121.0,252.0,173.0,8.0
168,Papouasie-Nouvelle-Guinée,30.0,,24.0,30.0,7.0,0.0
169,Paraguay,72.0,6.0,1.0,72.0,77.0,0.0
170,Pérou,1796.0,0.0,73.0,1407.0,1723.0,0.0
171,Philippines,1822.0,1.0,319.0,1822.0,1418.0,-85.0
173,Pologne,1332.0,1335.0,59.0,1241.0,2689.0,81.0
174,Portugal,315.0,26.0,84.0,314.0,354.0,97.0
175,Guinée-Bissau,6.0,,3.0,6.0,3.0,0.0
176,Timor-Leste,12.0,,11.0,12.0,1.0,0.0
179,Qatar,164.0,,129.0,157.0,35.0,0.0
18,Bhoutan,3.0,,2.0,3.0,2.0,0.0
181,Zimbabwe,113.0,,1.0,113.0,112.0,0.0
183,Roumanie,490.0,89.0,144.0,486.0,487.0,53.0
184,Rwanda,20.0,0.0,0.0,20.0,20.0,0.0
185,Fédération de Russie,4596.0,204.0,229.0,4491.0,4577.0,5.0
188,Saint-Kitts-et-Nevis,4.0,0.0,4.0,4.0,0.0,0.0
189,Sainte-Lucie,6.0,0.0,5.0,6.0,1.0,0.0
19,Bolivie (État plurinational de),476.0,0.0,3.0,476.0,473.0,0.0
191,Saint-Vincent-et-les Grenadines,9.0,0.0,8.0,9.0,0.0,0.0
193,Sao Tomé-et-Principe,4.0,,3.0,4.0,1.0,0.0
194,Arabie saoudite,1496.0,36.0,631.0,1496.0,900.0,0.0
195,Sénégal,122.0,0.0,0.0,122.0,122.0,0.0
196,Seychelles,4.0,0.0,3.0,4.0,1.0,0.0
197,Sierra Leone,52.0,,30.0,52.0,22.0,0.0
198,Slovénie,57.0,31.0,22.0,56.0,73.0,7.0
199,Slovaquie,99.0,25.0,91.0,87.0,58.0,25.0
2,Afghanistan,64.0,0.0,36.0,64.0,28.0,0.0
20,Botswana,8.0,0.0,5.0,8.0,4.0,0.0
