Zone,Alimentation pour touristes,Aliments pour animaux,Autres utilisations (non alimentaire),Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Résidus,Semences,Traitement,Variation de stock
Afghanistan,0.0,456000.0,94000.0,1997000.0,357310.0,30630.0,54090.0,15139000.0,601000.0,4555000.0,12968000.0,1146000.0,11609000.0,-111000.0,470000.0,115000.0,426000.0
Afrique du Sud,0.0,9371000.0,1448000.0,2987000.0,556420.0,81920.0,83360.0,66840000.0,10968000.0,9020000.0,31726000.0,3108000.0,68455000.0,-594000.0,212000.0,21564000.0,-322000.0
Albanie,0.0,697000.0,177000.0,3400000.0,1260490.0,117570.0,119500.0,4879000.0,156000.0,884000.0,3631000.0,321000.0,4231000.0,-115000.0,53000.0,113000.0,72000.0
Algérie,0.0,4884000.0,2405000.0,3345000.0,798710.0,79620.0,92850.0,45365000.0,743000.0,19718000.0,33056000.0,3683000.0,26763000.0,-22000.0,358000.0,993000.0,374000.0
Allemagne,0.0,30904000.0,8316000.0,3559000.0,943240.0,147960.0,104070.0,174960000.0,58793000.0,66550000.0,77988000.0,5756000.0,167828000.0,-831000.0,1712000.0,51109000.0,651000.0
Angola,0.0,6844000.0,548000.0,2266000.0,570950.0,48730.0,54090.0,32210000.0,60000.0,4153000.0,17025000.0,3795000.0,28523000.0,-4000.0,420000.0,3585000.0,403000.0
Antigua-et-Barbuda,16000.0,0.0,4000.0,2429000.0,632980.0,88720.0,81150.0,84000.0,0.0,71000.0,59000.0,1000.0,23000.0,0.0,0.0,0.0,12000.0
Arabie saoudite,0.0,12255000.0,337000.0,3194000.0,546350.0,103080.0,87510.0,32403000.0,2241000.0,26414000.0,18086000.0,803000.0,9037000.0,-92000.0,133000.0,883000.0,801000.0
Argentine,0.0,21725000.0,8276000.0,3239000.0,776640.0,117120.0,102660.0,138346000.0,63629000.0,3391000.0,34126000.0,3736000.0,204480000.0,-1187000.0,2571000.0,69101000.0,5897000.0
Arménie,0.0,627000.0,185000.0,3072000.0,1006410.0,96900.0,97330.0,4383000.0,244000.0,846000.0,2962000.0,274000.0,3708000.0,-51000.0,143000.0,240000.0,-76000.0
Australie,0.0,11209000.0,2357000.0,3307000.0,906770.0,153790.0,108010.0,77921000.0,52287000.0,6439000.0,22296000.0,2874000.0,127100000.0,-880000.0,1266000.0,38799000.0,3334000.0
Autriche,0.0,3746000.0,1225000.0,3694000.0,931630.0,166680.0,108110.0,19204000.0,7823000.0,9485000.0,8216000.0,625000.0,17570000.0,-176000.0,183000.0,5383000.0,14000.0
Azerbaïdjan,0.0,2565000.0,592000.0,3102000.0,792070.0,58910.0,92300.0,12521000.0,681000.0,2674000.0,7799000.0,491000.0,10673000.0,-48000.0,412000.0,712000.0,140000.0
Bahamas,2000.0,1000.0,64000.0,2043000.0,565500.0,71580.0,61370.0,342000.0,9000.0,187000.0,215000.0,7000.0,182000.0,-3000.0,0.0,56000.0,18000.0
Bangladesh,0.0,8167000.0,6987000.0,2596000.0,481900.0,33860.0,60220.0,103387000.0,269000.0,18069000.0,76966000.0,4991000.0,89461000.0,-137000.0,1636000.0,4779000.0,3870000.0
Barbade,41000.0,28000.0,1000.0,2896000.0,610410.0,93090.0,88740.0,407000.0,55000.0,239000.0,171000.0,7000.0,219000.0,-4000.0,1000.0,155000.0,-2000.0
Belgique,0.0,6006000.0,2972000.0,3770000.0,1015740.0,155650.0,101350.0,32221000.0,32418000.0,38900000.0,11603000.0,754000.0,27757000.0,-854000.0,183000.0,11560000.0,2015000.0
Belize,15000.0,159000.0,41000.0,2694000.0,588820.0,80600.0,67110.0,1917000.0,484000.0,92000.0,218000.0,103000.0,2348000.0,-136000.0,2000.0,1503000.0,36000.0
Bermudes,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivie (État plurinational de),0.0,2449000.0,5700000.0,2354000.0,556840.0,57290.0,68400.0,28387000.0,741000.0,1151000.0,6233000.0,998000.0,20455000.0,32000.0,845000.0,12129000.0,-7526000.0
Bosnie-Herzégovine,0.0,1000000.0,438000.0,3266000.0,991650.0,81800.0,94580.0,5402000.0,678000.0,2251000.0,3321000.0,279000.0,3628000.0,-36000.0,81000.0,312000.0,-203000.0
Botswana,0.0,43000.0,15000.0,2338000.0,535010.0,64790.0,65090.0,1424000.0,48000.0,929000.0,1176000.0,53000.0,687000.0,97000.0,8000.0,31000.0,143000.0
Brunéi Darussalam,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,28000.0,2000.0,16000.0,17000.0,0.0,13000.0,0.0,0.0,0.0,0.0
Brésil,0.0,90503000.0,333137000.0,3250000.0,770490.0,124600.0,90870.0,1086032000.0,153847000.0,17660000.0,160133000.0,100912000.0,1216178000.0,-1210000.0,4081000.0,398473000.0,-6041000.0
Bulgarie,0.0,1175000.0,639000.0,2827000.0,727430.0,95330.0,83190.0,10417000.0,8536000.0,3172000.0,5168000.0,790000.0,16593000.0,-37000.0,411000.0,2272000.0,811000.0
Burkina Faso,0.0,58000.0,385000.0,2720000.0,498780.0,67670.0,76080.0,11909000.0,296000.0,883000.0,9577000.0,448000.0,10781000.0,-178000.0,208000.0,1411000.0,-543000.0
Bélarus,0.0,11541000.0,366000.0,3289000.0,972220.0,125170.0,94080.0,29007000.0,7500000.0,3858000.0,9188000.0,670000.0,33634000.0,-451000.0,1649000.0,6049000.0,983000.0
Bénin,0.0,2691000.0,2188000.0,2754000.0,717390.0,58120.0,64450.0,16363000.0,278000.0,3725000.0,8012000.0,1323000.0,13676000.0,434000.0,758000.0,959000.0,812000.0
Cabo Verde,50000.0,42000.0,0.0,2512000.0,523680.0,68470.0,69330.0,396000.0,29000.0,262000.0,279000.0,9000.0,150000.0,0.0,3000.0,2000.0,18000.0
Cambodge,0.0,868000.0,11682000.0,2468000.0,503780.0,32800.0,65380.0,24462000.0,2248000.0,1493000.0,8067000.0,2625000.0,25990000.0,128000.0,408000.0,682000.0,776000.0
Cameroun,0.0,3164000.0,1271000.0,2652000.0,683770.0,53600.0,69490.0,32643000.0,664000.0,2418000.0,16797000.0,4873000.0,32825000.0,-7000.0,423000.0,6123000.0,1931000.0
Canada,0.0,25317000.0,3449000.0,3492000.0,923860.0,153120.0,101330.0,82935000.0,66205000.0,19555000.0,33945000.0,3200000.0,129752000.0,-497000.0,2494000.0,15020000.0,172000.0
Chili,0.0,4482000.0,1280000.0,3007000.0,676160.0,88330.0,88570.0,23672000.0,8736000.0,7055000.0,12486000.0,1167000.0,25580000.0,-50000.0,145000.0,4156000.0,133000.0
Chine - RAS de Hong-Kong,-289000.0,136000.0,782000.0,3353000.0,776030.0,133740.0,137880.0,6345000.0,3609000.0,9647000.0,5671000.0,202000.0,444000.0,-190000.0,2000.0,29000.0,141000.0
Chine - RAS de Macao,-49000.0,15000.0,24000.0,2999000.0,726130.0,131830.0,100370.0,445000.0,10000.0,489000.0,449000.0,1000.0,21000.0,-1000.0,0.0,9000.0,48000.0
