country_code,zone,valeur
1,Arménie,361.06
10,Australie,314.85
100,Inde,171201.84
102,Iran (République islamique d'),3751.4
104,Irlande,96.47
105,Israël,33.81
106,Italie,844.02
11,Autriche,150.4
110,Japon,1896.17
112,Jordanie,77.97
113,Kirghizistan,665.63
115,Cambodge,3102.49
119,Lettonie,46.11
126,Lituanie,68.11
133,Mali,4200.99
134,Malte,2.01
137,Maurice,23.54
138,Mexique,6095.98
141,Mongolie,295.41
142,Montserrat,0.04
150,Pays-Bas (Royaume des),162.4
153,Nouvelle-Calédonie,0.73
154,Macédoine du Nord,86.43
155,Vanuatu,30.84
162,Norvège,34.39
167,Tchéquie,101.45
170,Pérou,5205.71
171,Philippines,8474.03
173,Pologne,1486.96
174,Portugal,237.32
18,Bhoutan,155.75
180,Palaos,0.36
183,Roumanie,1692.2
184,Rwanda,2127.84
19,Bolivie (État plurinational de),1608.33
196,Seychelles,0.96
198,Slovénie,37.57
199,Slovaquie,48.5
20,Botswana,163.37
202,Afrique du Sud,3778.67
203,Espagne,697.82
21,Brésil,7375.36
210,Suède,58.1
211,Suisse,107.59
215,République-Unie de Tanzanie,16094.7
216,Thaïlande,11289.91
223,Türkiye,4641.95
225,Émirats arabes unis,116.72
230,Ukraine,2148.19
231,États-Unis d'Amérique,1762.68
234,Uruguay,110.89
237,Viet Nam,15353.17
251,Zambie,3291.84
255,Belgique,42.82
256,Luxembourg,2.08
26,Brunéi Darussalam,1.86
27,Bulgarie,176.49
28,Myanmar,9733.12
29,Burundi,4212.2
299,Palestine,60.52
38,Sri Lanka,2048.64
40,Chili,415.38
44,Colombie,3011.65
48,Costa Rica,323.54
50,Chypre,10.08
54,Danemark,54.41
56,République dominicaine,380.28
57,Bélarus,431.57
58,Équateur,2173.28
59,Égypte,5159.61
60,El Salvador,404.85
63,Estonie,13.42
67,Finlande,66.42
68,France,574.86
73,Géorgie,691.65
79,Allemagne,453.21
80,Bosnie-Herzégovine,119.51
83,Kiribati,6.0
84,Grèce,352.45
86,Grenade,3.62
9,Argentine,44.89
95,Honduras,813.3
97,Hongrie,191.54
98,Croatie,90.35
99,Islande,3.64
