country_code,zone,indice_de_quantite_d'exportation_(2014-2016_=_100),indice_de_quantite_d'importation_(2014-2016_=_100),indice_de_valeur_d'exportation_(2014-2016_=_100),indice_de_valeur_des_importations_(2014-2016_=_100),indice_de_valeur_unitaire_a_l'export_(2014-2016_=_100),indice_de_valeur_unitaire_a_l'import_(2014-2016_=_100),valeur_des_exportations_-_prix_periode_de_reference,valeur_des_exportations_-_quantite_periode_de_reference,valeur_des_importations_-_prix_periode_de_reference,valeur_des_importations_-_quantite_periode_de_reference
1,Arménie,853828.0,182007.0,2037204.0,174849.0,9334.0,11192.0,394790.0,285986.0,848369.0,520384.0
10,Australie,12028.0,69604.0,15221.0,38867.0,64914.0,14967.0,25054864.0,35414918.0,10178035.0,14581857.0
100,Inde,28041.0,79458.0,28925.0,260159.0,20902.0,15347.0,31528384.0,26102565.0,21229798.0,20967386.0
101,Indonésie,420608.0,11950805.0,124220.0,221875.0,19722.0,19874.0,34787544.0,30565911.0,19865540.0,13710859.0
102,Iran (République islamique d'),51867.0,10714.0,26068.0,14628.0,9128.0,8766.0,7868343.0,3309283.0,9822524.0,9349679.0
103,Iraq,5475.0,418440.0,89486.0,147460.0,19853.0,17037.0,115612.0,140988.0,11522559.0,7867462.0
104,Irlande,32469.0,3603859.0,25918.0,304265.0,15097.0,16865.0,12724906.0,10858194.0,8390192.0,7436498.0
105,Israël,9449.0,19600.0,16524.0,20554.0,7801.0,11651.0,1477741.0,1659998.0,5264300.0,4161866.0
106,Italie,16755.0,15306.0,18778.0,15440.0,17587.0,14342.0,38925177.0,36915564.0,38183361.0,35908686.0
107,Côte d'Ivoire,126271.0,431633.0,98956.0,25837.0,24911.0,12354.0,9200115.0,6262972.0,1608231.0,1432922.0
108,Kazakhstan,198252.0,34103.0,111832.0,25150.0,17824.0,13965.0,2974202.0,2368299.0,3667380.0,2527787.0
109,Jamaïque,154068.0,23798.0,45034.0,14994.0,21867.0,42754.0,208701.0,172089.0,800890.0,646735.0
11,Autriche,22890.0,24808.0,19323.0,16720.0,15322.0,15245.0,8926661.0,8401939.0,10818602.0,10419117.0
110,Japon,30315.0,13496.0,23986.0,14247.0,28276.0,14269.0,2367017.0,2542394.0,49628045.0,48968430.0
112,Jordanie,15706.0,36595.0,15438.0,29020.0,10109.0,15813.0,993948.0,983897.0,3318395.0,3152284.0
113,Kirghizistan,20270817.0,38083.0,184129.0,28963.0,7234.0,10753.0,328468.0,133679.0,632716.0,488495.0
114,Kenya,312784.0,55534.0,316992.0,25017.0,25718.0,17331.0,3068261.0,1836720.0,2613395.0,2044179.0
115,Cambodge,49467910.0,281374.0,3539158.0,48120.0,8065.0,15030.0,2581462.0,571000.0,1189436.0,707095.0
116,République populaire démocratique de Corée,7860229.0,20769.0,9729666.0,15090.0,20330.0,11900.0,60305.0,157980.0,483702.0,765474.0
117,République de Corée,97137.0,15509.0,108625.0,16014.0,24962.0,13697.0,3662251.0,3682894.0,23860375.0,20463480.0
118,Koweït,20169.0,22391.0,17457.0,17796.0,18923.0,50993.0,293229.0,422999.0,4381505.0,4197562.0
119,Lettonie,41115.0,24895.0,36144.0,23448.0,13001.0,13632.0,2375474.0,1660384.0,2255966.0,1759468.0
12,Bahamas,21482.0,20133.0,26610.0,10377.0,1817.0,23495.0,85.0,3508.0,881639.0,293456.0
120,République démocratique populaire lao,118062.0,154146.0,58682.0,87340.0,2816.0,9520.0,1858504.0,338011.0,1058177.0,227283.0
121,Liban,176766.0,25141.0,72729.0,9481.0,15720.0,11478.0,540456.0,605631.0,2066749.0,2237167.0
122,Lesotho,45606.0,221851.0,78042.0,31619.0,17446.0,12499.0,114639.0,25996.0,417451.0,282993.0
123,Libéria,605548.0,83732.0,26310.0,48693.0,2699.0,5549.0,61672.0,273092.0,295867.0,309123.0
124,Libye,567988.0,19902.0,508506.0,14736.0,9610.0,56742.0,15626.0,12668.0,3126161.0,2956348.0
126,Lituanie,46050.0,62108.0,45557.0,24777.0,13424.0,16657.0,4610127.0,4787408.0,3031353.0,3432103.0
128,Chine - RAS de Macao,1797.0,10502.0,2414.0,12014.0,1557.0,14183.0,19351.0,34173.0,834801.0,1283130.0
129,Madagascar,5889067.0,31203.0,12980407.0,78339.0,11172.0,19602.0,486705.0,921305.0,660896.0,427934.0
13,Bahreïn,348419.0,7049556.0,290131.0,817863.0,20712.0,13693.0,359192.0,389111.0,1682491.0,1583282.0
130,Malawi,862372.0,28176.0,776939.0,29686.0,13282.0,11361.0,792662.0,784065.0,305429.0,428699.0
131,Malaisie,3832128.0,19865.0,523711.0,18466.0,13431.0,16865.0,22459812.0,20392233.0,16792885.0,13441710.0
132,Maldives,887.0,28598.0,1275.0,19596.0,204.0,12527.0,10.0,6.0,382372.0,369227.0
133,Mali,4915787.0,49659.0,575574.0,34568.0,258531.0,16957.0,174148.0,298482.0,685755.0,557590.0
134,Malte,3225.0,25156.0,14795.0,18662.0,26165.0,17575.0,33506.0,46727.0,447953.0,526471.0
136,Mauritanie,457.0,179586.0,360.0,37935.0,265.0,89828.0,1007.0,660.0,739198.0,694777.0
137,Maurice,7433.0,16566.0,13951.0,15394.0,12722.0,14644.0,261032.0,314619.0,707364.0,821948.0
138,Mexique,15864.0,16467.0,13966.0,13883.0,10736.0,101301.0,25882295.0,25357462.0,20096885.0,30374928.0
14,Barbade,13979.0,30115.0,26594.0,30406.0,5910.0,15366.0,36820.0,43435.0,240512.0,249266.0
141,Mongolie,143261.0,93158.0,93886.0,76745.0,3206.0,13472.0,149884.0,55177.0,532133.0,403787.0
143,Maroc,126711.0,4197527.0,745134.0,119513.0,67098.0,14050.0,2830068.0,2894110.0,6252346.0,4300169.0
144,Mozambique,959361.0,533698.0,164005.0,28247.0,17988.0,31305.0,633904.0,521301.0,1277563.0,893867.0
146,République de Moldova,2348869.0,49025.0,1960156.0,35209.0,21908.0,14363.0,839874.0,935344.0,667448.0,512975.0
147,Namibie,79986844.0,46474.0,348482.0,89514.0,20333.0,26817.0,1371877.0,316529.0,629717.0,886379.0
148,Nauru,10833.0,67640.0,3917.0,28278.0,57.0,8034.0,203.0,1.0,10869.0,16247.0
149,Népal,2852725.0,46338.0,3840299.0,55703.0,30776.0,18749.0,284789.0,249218.0,2266095.0,1319520.0
150,Pays-Bas (Royaume des),36208.0,24080.0,23748.0,23228.0,54363.0,41070.0,74688149.0,63870858.0,56014424.0,46166697.0
153,Nouvelle-Calédonie,9331.0,796242.0,2590.0,117436.0,2741.0,12211.0,2727.0,5008.0,321942.0,329566.0
154,Macédoine du Nord,69606.0,20314.0,21549.0,19650.0,11893.0,12901.0,431391.0,621830.0,735490.0,653561.0
155,Vanuatu,506746.0,12060.0,133197.0,19842.0,4915.0,12589.0,14677.0,11902.0,63728.0,60487.0
156,Nouvelle-Zélande,140682.0,18967.0,79529.0,18501.0,17237.0,21853.0,19626738.0,21912697.0,3324664.0,4138176.0
157,Nicaragua,529518.0,58841.0,345632.0,39250.0,18427.0,15614.0,2270724.0,1689577.0,930458.0,739503.0
158,Niger,24880.0,55701.0,21805.0,39739.0,773321.0,20361.0,53470.0,14736558.0,734190.0,562299.0
159,Nigéria,334650.0,778050.0,64434.0,255728.0,33779.0,83749.0,1534980.0,1228342.0,6309840.0,6344031.0
16,Bangladesh,801139285.0,87832324.0,96964802.0,23427707.0,16006.0,14339.0,804652.0,500728.0,12229915.0,8438625.0
160,Nioué,103.0,30078.0,139.0,20925.0,4583.0,29439.0,66.0,2534.0,1592.0,6035.0
162,Norvège,144092.0,16413.0,60364.0,14567.0,11807.0,12805.0,661396.0,561354.0,6210122.0,5095528.0
165,Pakistan,713601.0,209368.0,140269.0,41201.0,14340.0,11470.0,3727089.0,3821306.0,15874913.0,6580406.0
166,Panama,152864.0,49102.0,389870.0,32335.0,7907.0,90588.0,528789.0,266760.0,1529085.0,1520179.0
167,Tchéquie,227974.0,19504.0,69320.0,18349.0,16802.0,33793.0,6970777.0,6889866.0,8391456.0,7864436.0
168,Papouasie-Nouvelle-Guinée,1064118.0,336110.0,1055329.0,36529.0,3434.0,27108.0,1246831.0,635476.0,857514.0,863140.0
169,Paraguay,20177.0,71580.0,21133.0,59607.0,8154.0,10513.0,6076922.0,5035373.0,948209.0,721968.0
170,Pérou,816439.0,63833.0,191676.0,27629.0,12210.0,10678.0,6365292.0,4421381.0,4694461.0,3385186.0
171,Philippines,41999.0,861553.0,31262.0,517148.0,12940.0,43244.0,4841872.0,4027308.0,10657004.0,7218677.0
173,Pologne,127081.0,19905.0,156499.0,19682.0,16291.0,16600.0,28883480.0,22639334.0,20056407.0,16069169.0
174,Portugal,31170.0,15425.0,23343.0,15811.0,17901.0,16833.0,6439147.0,5312621.0,8720151.0,7747090.0
175,Guinée-Bissau,7484.0,240502.0,4339.0,13456.0,492.0,17097.0,143423.0,178608.0,143092.0,104509.0
176,Timor-Leste,12789.0,4219096.0,40850.0,464338.0,3455.0,17298.0,12889.0,9016.0,234955.0,133766.0
178,Érythrée,120489.0,12972.0,51376.0,11528.0,1442.0,8370.0,1338.0,944.0,136753.0,103711.0
179,Qatar,9574.0,26967286.0,21930.0,2498306.0,4176.0,12829.0,8579.0,11280.0,2704159.0,2623012.0
18,Bhoutan,111429.0,8083828.0,56806.0,1447272.0,2008.0,12303.0,19025.0,24816.0,182573.0,137989.0
181,Zimbabwe,177413.0,16411.0,56972.0,14825.0,6202.0,9942.0,1306640.0,852103.0,1120366.0,928761.0
183,Roumanie,32261.0,21296.0,37081.0,23478.0,17918.0,23271.0,6414142.0,6668150.0,7585875.0,6009095.0
184,Rwanda,529876.0,3280750.0,379163.0,3366753.0,10459.0,34302.0,380719.0,228216.0,521340.0,363322.0
