country_code,zone,femmes,hommes,population_rurale,population_totale,population_urbaine
1,Arménie,1554457.0,1336435.0,1078125.0,2890892.0,1860554.0
10,Australie,12970037.0,12773754.0,3494472.0,25743791.0,21903705.0
100,Inde,678442228.0,724175468.0,900099113.0,1402617695.0,483098640.0
101,Indonésie,136741617.0,138073249.0,118034441.0,274814866.0,154188546.0
102,Iran (République islamique d'),43070948.0,44652495.0,20166625.0,87723443.0,63420504.0
103,Iraq,21017026.0,21099578.0,12080190.0,42116605.0,29422695.0
104,Irlande,2515444.0,2467162.0,1776656.0,4982606.0,3111336.0
105,Israël,4426845.0,4373531.0,645956.0,8800376.0,8067603.0
106,Italie,30683163.0,29229606.0,17125372.0,59912769.0,42006701.0
107,Côte d'Ivoire,14147956.0,14767494.0,12639438.0,28915449.0,13532312.0
108,Kazakhstan,10029218.0,9452899.0,7948258.0,19482117.0,10828881.0
109,Jamaïque,1428803.0,1401936.0,1272725.0,2830739.0,1640435.0
11,Autriche,4532324.0,4389081.0,3622850.0,8921405.0,5159360.0
110,Japon,64600334.0,61704209.0,10395975.0,126304543.0,116099672.0
112,Jordanie,5246935.0,5618292.0,876059.0,10865228.0,9332603.0
113,Kirghizistan,3365729.0,3298410.0,3979161.0,6664140.0,2322557.0
114,Kenya,26233736.0,25983598.0,38516638.0,52217334.0,14975059.0
115,Cambodge,8544836.0,8180637.0,12665049.0,16725473.999999998,4050459.0
116,République populaire démocratique de Corée,13250754.0,12885558.0,9720959.0,26136312.0,16119904.0
117,République de Corée,25955050.0,25903431.0,9572865.0,51858482.0,41934110.0
118,Koweït,1718674.0,2681470.0,0.0,4400144.0,4302875.0
119,Lettonie,1022870.0,878254.0,599796.0,1901123.0,1293197.0
12,Bahamas,205987.0,189876.0,68165.0,395863.0,338674.0
120,République démocratique populaire lao,3652811.0,3693722.0,4564691.0,7346533.0,2600131.0
121,Liban,2932378.0,2770020.0,666679.0,5702398.0,5353116.0
122,Lesotho,1147922.0,1087804.0,1648125.0,2235727.0,674092.0
123,Libéria,2581798.0,2567665.0,2445292.0,5149463.0,2658561.0
124,Libye,3457415.0,3587984.0,1286402.0,7045399.0,5375771.0
