country,urban_pop_%,gdp_growth_%,gdp_per_cap_US$,trade_%_gdp,net_imports_poultry_US$,safety_stability_index,total_protein_g_cap_day,animal_protein_g_cap_day,poultry_protein_g_cap_day,obesity_deaths_%,Cluster_CAH,Cluster_Kmeans
Armenia,0.6435916665167706,-7.177995,4372.939704,69.49099731,2832000.0,-0.77,97.62,48.53165,7.41,15.37,3,5
Australia,0.8508344788846367,4.200123,55758.834562,44.03952789,-1104000.0,0.86,108.73,74.88029,21.25,10.72,5,4
India,0.3444264547083159,-6.144681,1910.271668,37.87099838,2740000.0,-0.84,64.82000000000001,15.347798,1.44,5.69,1,1
Indonesia,0.5610633378181222,-5.365475,3853.702895,33.1905899,31557000.0,-0.46,54.92,26.853527,6.04,8.44,1,1
Ireland,0.6244395001330629,7.228912,87615.893087,239.9510345,4922000.0,0.97,108.69,72.7672,18.67,9.05,4,3
Israel,0.9167338986425124,3.056712,46952.106679,51.41462326,6045000.0,-0.89,119.29,72.80244,29.58,10.69,5,4
Italy,0.7011310226706431,-5.551858,31837.638719,55.08529663,7995000.0,0.4,97.34,58.449257,7.419999999999999,9.7,5,4
Côte d'Ivoire,0.4679959145714804,4.380145,2179.729312,42.01533508,4185000.0,-1.03,55.74,15.446145,1.21,6.23,1,1
Kazakhstan,0.5558369760329435,-5.826487,8781.508195,56.21952438,10582000.0,-0.26,104.36,59.171734,9.36,15.95,3,5
Jamaica,0.5795076833293356,-12.749468,4879.441362,89.97451019,1512000.0,0.26,67.77,38.573223,24.08,17.56,2,2
Austria,0.5783124967423853,-1.93823,48691.613211,99.99893951,26993000.0,0.89,102.04,63.222286,6.670000000000001,10.44,5,4
Japan,0.9192042443002229,-1.21936,40026.961607,31.07269287,6446000.0,1.03,71.48,50.552307,10.580000000000002,3.92,5,4
Jordan,0.8589422145582218,-1.803419,4022.04029,65.37192535,11661000.0,-0.27,61.37,23.461538,10.83,23.93,3,5
Kyrgyzstan,0.3485156374265847,-11.746604,1241.040744,83.01012421,120000.0,-0.46,86.11999999999999,36.86109,2.71,12.93,1,5
Kenya,0.2867832930727562,0.278018,1927.664607,27.35304832,1311000.0,-1.01,57.76,13.4982195,0.6,6.15,1,1
Cambodia,0.2421730614135696,-4.34982,2057.820014,123.8104019,1539000.0,-0.21,50.48,20.178764,0.53,4.39,1,1
Republic of Korea,0.8086258676063831,-0.398363,33631.340075,69.21552277,10943000.0,0.61,79.52,53.123676,9.49,5.85,5,4
Latvia,0.6802279494803861,0.847214,17558.000537,119.481987,1580000.0,0.46,88.89,58.821423,11.09,15.31,3,5
Bahamas,0.8555333537107535,-23.49382,25155.690026,49.90966415,45000.0,0.83,71.56,48.584457,29.67,15.18,2,2
Lebanon,0.9387482248696076,-56.564023,4056.081143,45.56102371,4326000.0,-1.62,66.46,27.854147,9.37,18.13,2,2
Lesotho,0.3015090840697455,-14.096379,918.582761,152.5146332,2397000.0,-0.25,55.22,15.0729885,3.67,8.69,1,1
Lithuania,0.6942593529856765,4.154366,20535.36288,137.7171783,4437000.0,0.92,117.09,81.03349,11.06,14.41,3,4
"China, Macao SAR",0.9543353726647604,-53.989703,37102.575225,121.2518921,18500000.0,1.14,84.48,63.034145,14.95,6.39,2,2
Madagascar,0.3685299311766748,-7.4672,450.771607,48.99329376,847000.0,-0.51,36.1,4.993672,0.82,6.2,1,1
Malaysia,0.7483710174089612,-7.591265,9957.526867,116.4250412,-136876000.0,0.12,66.06,45.205177,22.549999999999997,9.73,2,2
Maldives,0.3716935063072824,-35.163409,7393.881513,117.8898468,72000.0,0.36,52.76,45.590405,6.550000000000001,6.62,2,2
Mauritania,0.575356223551025,4.635827,1795.764612,91.06025696,2000.0,-0.7,80.58,30.790297,2.72,10.11,1,5
Mauritius,0.4047075216077018,-20.976503,8890.197845,78.69660187,794000.0,0.87,79.47,38.608864,17.81,18.93,2,2
Mexico,0.8523281975563619,-14.035777,8841.270578,78.19582367,12929000.0,-0.79,86.9,45.976402,15.98,16.6,3,2
Morocco,0.6437640798455989,-5.869228,3317.104499,77.48203278,20521000.0,-0.36,93.12,29.326218,6.63,17.04,3,5
Republic of Moldova,0.5609209903389591,-1.755599,3757.006819,75.68846893,1580000.0,-0.34,65.38,36.196278,11.48,15.65,3,5
Namibia,0.5141888519409168,-15.61137,3878.59062,76.4059906,1306000.0,0.51,63.39,23.856451,4.6,9.72,1,1
Nepal,0.2149454402167132,-4.112422,1134.376303,40.64712524,6952000.0,-0.18,74.34,13.908887,3.92,4.39,1,1
Netherlands (Kingdom of the),0.8985384536397363,0.393782,52876.060859,145.3046265,371377000.0,0.83,105.83,69.67143,3.5999999999999996,7.34,4,6
North Macedonia,0.6523094099139163,-1.945859,6603.063337,129.0585938,1552000.0,0.11,84.52,36.238052,9.51,17.51,3,5
Vanuatu,0.2510389549551961,-2.89423,3042.982025,61.67353058,112000.0,0.88,55.75,23.935114,6.88,13.58,1,1
New Zealand,0.8267240248565305,-0.07079,41952.788752,44.26477432,-31927000.0,1.47,86.34,49.41206,11.81,10.31,5,4
Nicaragua,0.5767492776759879,-0.137605,1931.612084,89.47442627,9729000.0,-0.59,66.54,24.111914,10.02,14.71,3,5
Niger,0.1687622611938225,6.408214,579.492308,36.17637634,46000.0,-1.67,83.15,10.286033,0.43,3.75,1,1
Nigeria,0.5005347548702282,-9.402931,2008.904435,25.39978981,1224000.0,-1.89,56.32,6.7978525,0.52,5.06,1,1
Bangladesh,0.3897517928415072,6.892618,2246.33829,30.51946449,21814000.0,-0.92,53.620000000000005,12.817408,0.57,4.66,1,1
Norway,0.8406037692075176,-10.057527,68342.578024,65.33048248,303000.0,1.22,103.9,65.59094,8.34,6.62,5,4
Pakistan,0.3295198028018055,0.628055,1250.000063,27.47861481,-1208000.0,-1.79,67.9,30.120348,2.65,8.02,1,1
Panama,0.6835158635824843,-18.122022,13296.83893,74.07718658,7761000.0,0.24,82.2,49.986088,23.64,11.46,2,2
Czechia,0.7464617731214471,-2.213659,23801.571403,135.1522827,-33704000.0,0.91,87.65,57.770393,9.69,14.83,3,4
Paraguay,0.6653854732902073,-6.573865,5365.471786,62.78144455,10107000.0,0.02,71.79,30.777243,4.6899999999999995,14.23,3,5
Peru,0.7942633508673853,-11.788489,6133.325084,43.43672943,13307000.0,-0.36,83.67,44.20368,18.96,9.5,3,2
Philippines,0.464025842891993,-3.99982,3227.579102,58.17486954,833000.0,-0.78,60.26,26.166784,8.13,9.52,1,1
Poland,0.5968308883191256,0.536014,15873.674974,105.57547,66587000.0,0.49,103.52,62.8243,12.62,13.77,3,5
Portugal,0.6533720250645122,-4.371719,22141.492959,76.17667389,9603000.0,1.01,99.48,74.78574,11.39,8.66,5,4
Guinea-Bissau,0.439205167750732,2.287526,693.683627,43.63584137,3000.0,-0.72,44.24,8.776653,1.32,5.51,1,1
Timor-Leste,0.3262682562461681,6.68885,1630.86877,162.9633942,286000.0,0.2,49.260000000000005,11.7747,4.220000000000001,3.23,1,1
Qatar,0.988255941499086,-18.120811,51513.394871,90.01909637,910000.0,0.67,94.86,49.91027,25.54,23.91,3,2
Bhutan,0.4590159037721784,-10.164891,3191.669075,76.2407074,97000.0,1.01,87.59,31.423265,1.72,6.81,1,5
Zimbabwe,0.3671347407155896,-4.115044,1395.305045,76.00193787,1883000.0,-1.05,54.93,23.380909,3.25,6.43,1,1
Romania,0.5418270876183945,0.141741,12996.478814,78.97916412,26431000.0,0.51,103.88,52.818935,11.090000000000002,15.61,3,5
Rwanda,0.1746026680112418,-1.696637,778.679123,54.34366989,514000.0,0.07,54.89,7.0247035,0.68,5.41,1,1
Bolivia (Plurinational State of),0.6850684804099828,-10.430237,3099.942059,45.67144394,9355000.0,-0.45,74.37,33.876312,17.91,11.77,3,2
Saudi Arabia,0.94399601796729,-12.437147,23692.887597,50.60237885,6990000.0,-0.65,89.57000000000001,36.257694,18.73,21.17,3,2
Senegal,0.4930022653227646,4.813354,1461.087161,56.09275436,1022000.0,-0.14,61.74,12.93784,3.3499999999999996,7.19,1,1
Seychelles,0.459785021323291,-26.017562,11493.511629,175.0991669,241000.0,0.7,82.29,47.84947,15.93,9.78,2,2
Sierra Leone,0.4365176217349686,2.529554,845.313854,51.55793762,76000.0,-0.3,43.51,11.857973,2.78,4.29,1,1
Slovenia,0.5458393403027655,-0.974148,25392.059071,146.5409088,3783000.0,0.7,95.29,52.875504,10.57,12.08,3,5
Slovakia,0.5372456656469339,1.784809,19749.246341,169.9471741,2588000.0,0.63,69.6,39.291298,7.49,15.41,3,5
Botswana,0.7237061339180876,-10.577246,6310.523794,77.13946533,3491000.0,1.01,71.83,26.717148,1.71,12.05,1,5
South Africa,0.6530603379018404,-13.109346,5585.834035,51.12684631,1610000.0,-0.25,77.22,36.451458,18.110000000000003,11.87,3,2
Spain,0.7874148357588312,-8.102091,27051.125421,59.76872253,-42862000.0,0.41,98.49,70.057434,13.16,9.63,5,4
Tajikistan,0.2673289699476168,-2.010045,834.3117,55.27150726,3546000.0,-0.5,81.63,28.66329,1.72,9.31,1,1
Eswatini,0.2916798367441389,-11.412682,3338.759473,87.32375336,-18000.0,-0.04,60.64,17.559677,3.16,14.48,1,1
Brazil,0.8924389847904477,-21.202337,7074.194058,32.35429764,-76863000.0,-0.45,90.73,55.603397,20.74,12.03,5,2
Sweden,0.8600571815679943,2.438758,52652.513187,84.53333282,-7541000.0,1.0,101.41,68.36428,7.0,9.21,5,4
Switzerland,0.7417139262146925,2.839557,85862.50175,115.8893967,2138000.0,1.18,93.62,61.844414,7.17,8.31,5,4
United Republic of Tanzania,0.3626757131926273,7.602905,1069.517188,29.60424995,1498000.0,-0.48,57.89,11.83948,0.63,7.05,1,1
Thailand,0.4982912553849387,-7.999342,6985.645278,97.9942627,5624000.0,-0.58,53.82,25.771307,4.8500000000000005,8.14,1,1
Togo,0.4139077155894308,7.055655,863.468617,52.94914246,73000.0,-0.89,53.76,8.6292,2.11,6.11,1,1
Oman,0.9824152453832472,-13.79902,16784.843861,81.04950714,2333000.0,0.42,79.71000000000001,46.71199,9.05,19.41,3,2
Türkiye,0.7411103617292131,-5.343907,8367.107707,61.14060211,-38174000.0,-1.14,111.17,40.307323,8.61,16.87,3,5
Uganda,0.2648620406453387,0.757223,856.123024,37.00069427,4301000.0,-0.81,46.0,11.403163,0.68,5.43,1,1
United Kingdom of Great Britain and Northern Ireland,0.8388065179075007,-5.422894,40040.146279,56.10885239,-168482000.0,0.48,99.64,59.44375,14.14,9.11,6,4
Belize,0.4687215336274218,-14.4522,5259.125646,85.62898254,727000.0,0.52,69.46,32.09787,14.24,15.6,2,2
Ukraine,0.678930673566933,1.777112,3505.319359,79.17539978,56031000.0,-1.16,85.18,42.389507,10.37,15.75,3,5
United States of America,0.8071477706062541,-0.863045,62910.504568,23.37612724,-219956000.0,-0.03,113.27,75.089485,22.83,12.97,6,4
Uruguay,0.9819659967378334,-13.747082,15789.685172,46.36830902,2906000.0,1.05,86.81,50.407818,10.14,9.52,5,4
Uzbekistan,0.4989026203842439,-0.097543,1793.129109,61.99237061,6573000.0,-0.44,103.21,46.99931,1.8,16.66,3,5
Viet Nam,0.3744652420715827,3.663798,3534.039534,208.2540741,21808000.0,-0.04,76.91,36.982117,6.58,5.53,1,5
Ethiopia,0.2057173067239098,4.386806,812.515178,24.01823235,1555000.0,-1.75,73.96,7.730233,0.25,3.76,1,1
Samoa,0.1689078247084135,-9.142251,3912.003361,82.67362213,105000.0,1.15,75.08,44.79904,29.38,19.28,2,2
Democratic Republic of the Congo,0.4255489931357223,-4.251888,472.003892,58.49134445,422000.0,-1.79,27.8,3.1637197,0.79,4.89,1,1
Zambia,0.4373895393846447,-22.503956,947.762549,79.32548523,-2500000.0,-0.13,50.85,12.315729,1.5,6.8,2,1
Belgium,0.98757966455597,-1.310141,45900.30868,158.6213989,44664000.0,0.52,98.71,65.76835,6.359999999999999,7.41,5,4
Luxembourg,0.8758811094883103,5.449755,116872.371261,376.2950439,94000.0,1.21,101.9,66.76844,7.74,8.36,4,3
Bulgaria,0.7576147461683973,2.792523,10175.105235,109.1775284,-2060000.0,0.4,76.41,40.75967,8.879999999999999,17.82,3,5
Serbia,0.7112334556875607,3.576193,7724.078036,104.7610245,2775000.0,-0.17,87.6,52.331528,7.43,15.45,3,5
Montenegro,0.6987046312516964,-13.739651,7863.870891,87.00601959,1146000.0,-0.06,108.06,67.14438,6.92,17.0,3,5
Sudan,0.3280546329132872,-2.349242,732.944477,0.784630835,1985000.0,-1.66,74.19,19.220844,0.76,14.52,1,1
Burundi,0.1297123983794609,2.459167,273.548529,32.90127563,9000.0,-1.54,40.27,2.6953228,0.28,3.06,1,1
Albania,0.6362782969365108,-1.55234,5279.588805,60.96992111,4591000.0,0.09,109.98,59.114933,6.5600000000000005,12.87,3,5
Cameroon,0.5700574173201501,2.778517,1555.603708,33.26116943,1917000.0,-1.51,66.99,11.513755,0.31,9.48,1,1
Canada,0.803472250347913,-5.048944,43374.455788,60.78253174,48275000.0,1.01,101.36,59.379425,16.58,10.02,5,4
Cabo Verde,0.7347259165421554,-19.119789,3539.223182,84.69273376,89000.0,0.87,67.81,23.293243,11.67,10.08,1,2
Sri Lanka,0.1748746454572543,-5.138957,3742.631835,39.52338028,3044000.0,-0.09,60.84,19.01202,4.69,10.77,1,1
Chad,0.2223704720418882,-2.165129,849.204483,68.0088501,79000.0,-1.26,75.04,27.108818,0.21,3.4,1,1
Algeria,0.7254630576009663,-11.379013,3609.615148,45.84199142,26988000.0,-0.85,88.32,24.795826,2.67,17.06,3,5
Chile,0.8366056767195522,-8.735146,13106.454618,57.84183502,7220000.0,0.04,88.65,47.888756,15.12,12.06,5,2
"China, mainland",0.613612075073015,2.855574,10299.194169,34.50688934,33882000.0,0.6,96.16,42.030323,4.88,6.39,1,5
Colombia,0.807663393547833,-16.309037,5339.68706,33.65364838,13688000.0,-0.7,69.81,37.75456,15.23,10.23,3,2
Comoros,0.3184976120813351,2.41473,1525.718921,33.40287399,23000.0,-0.29,52.54,20.44105,8.819999999999999,6.45,1,1
Congo,0.6705185361331569,-17.943867,1993.586963,110.0669785,93000.0,-0.21,44.6,24.870285,9.65,9.56,2,2
Costa Rica,0.8092878482098873,-3.138983,12394.049398,61.32834625,-690000.0,0.75,78.91,48.464226,14.34,11.25,5,2
Azerbaijan,0.5594265414620109,-11.377939,4193.098815,72.16293335,5575000.0,-0.85,97.72,35.21373,6.1899999999999995,16.61,3,5
Benin,0.4490609876582315,9.006041,1200.194266,44.83323288,701000.0,-0.44,61.89,11.180508,2.33,7.01,1,1
Denmark,0.8759112960063654,2.96164,60984.170866,103.3122482,-77812000.0,0.92,100.9,72.74008,10.55,7.35,5,4
Dominican Republic,0.8329057165956596,-11.352103,7162.29171,44.2936554,1081000.0,0.16,66.1,32.475677,14.93,12.71,3,2
Belarus,0.8003080758477433,-4.717403,6563.152698,120.6823502,9774000.0,-0.89,100.62,60.92099,14.85,15.4,3,5
Ecuador,0.6339678440721609,-10.902241,5463.645309,43.28601837,17546000.0,-0.27,59.94,30.163097,11.6,14.27,3,2
Egypt,0.4028815994390675,17.002646,3571.453587,33.75918198,18278000.0,-1.18,86.61,21.216282,8.6,21.27,3,5
El Salvador,0.7632329714806213,-7.291151,3997.192855,69.42698669,660000.0,-0.12,81.08,30.190504,10.89,13.54,3,5
Estonia,0.6771346853991482,-0.16621,23931.338948,141.8693695,5629000.0,0.71,97.62,69.11843,8.549999999999999,17.92,3,5
Fiji,0.5786999037119533,-18.586791,4844.421459,70.72753143,1741000.0,0.66,68.02,29.715122,14.0,27.55,3,2
Finland,0.8629862276051194,1.118099,48828.075389,72.07539368,-2973000.0,0.98,108.83,74.731766,9.52,9.65,5,4
Angola,0.6557910702630653,-34.059144,1638.840772,66.90747833,349000.0,-0.6,43.94,12.004645,3.63,5.22,2,1
Georgia,0.6106360971610342,-9.242264,4219.072268,93.87580109,1843000.0,-0.43,81.96000000000001,35.517788,8.6,17.11,3,5
Gabon,0.8344914767846741,-9.079599,6605.821104,70.43734741,97000.0,-0.07,72.18,37.930695,15.02,12.07,3,2
Gambia,0.570532723464692,-0.079382,720.334925,44.8874054,0.0,0.25,54.46,17.387972,4.49,7.66,1,1
Germany,0.7644540556575381,-0.431251,47114.712304,81.10855103,-337001000.0,0.64,101.58,67.587,5.18,10.81,6,4
Antigua and Barbuda,0.2796202338697385,-18.226707,15359.849539,91.52513885,125000.0,0.93,67.81,57.4654,29.44,13.58,2,2
Bosnia and Herzegovina,0.5197419248463864,-1.252637,6130.308662,83.00364685,2066000.0,-0.45,100.04,36.60065,8.84,14.87,3,5
