country_code,zone,besoins_energetiques_alimentaires_moyens_(kcal/personne/jour),densite_du_reseau_ferroviaire_(pour_100_km_carres_de_surface_totale_du_pays),"pib_par_habitant,_($_ppa_internationaux_constants_de_2017)","part_des_cereales,_des_racines_et_des_tubercules_dans_les_apports_energetiques_alimentaires_(%)_(moyenne_sur_3_ans)",pourcentage_des_terres_arables_amenagees_pour_l'irrigation_(%)_(moyenne_sur_3_ans),stabilite_politique_et_absence_de_violence/terrorisme_(indice),suffisance_des_apports_energetiques_alimentaires_moyens_(%)_(moyenne_sur_3_ans),taux_de_dependance_a_l'egard_des_importations_cerealieres_(%)_(moyenne_sur_3_ans),valeur_des_importations_alimentaires_par_rapport_aux_exportations_totales_de_marchandises_(%)_(moyenne_sur_3_ans),variabilite_des_disponibilites_alimentaires_par_habitant_(kcal/personne/jour)
1,Arménie,2420.0,2.3,15889.3,39.0,7.3,-0.77,133.0,85.9,24.0,51.0
10,Australie,2493.0,0.0,56298.2,23.0,0.3,0.86,140.0,-163.2,5.0,31.0
100,Inde,2325.0,2.1,7436.1,54.0,25.1,-0.84,110.0,-8.9,6.0,20.0
101,Indonésie,2311.0,0.0,12523.2,57.0,3.6,-0.46,126.0,15.3,8.0,43.0
102,Iran (République islamique d'),2376.0,0.5,14468.6,51.0,5.9,-1.7,122.0,47.8,14.0,37.0
103,Iraq,2279.0,0.0,12563.7,59.0,8.1,-2.47,117.0,46.3,15.0,19.0
104,Irlande,2486.0,2.7,100077.0,28.0,0.0,0.97,156.0,58.3,5.0,39.0
105,Israël,2298.0,7.3,43189.5,31.0,14.1,-0.89,160.0,91.8,10.0,19.0
106,Italie,2528.0,5.7,45844.7,31.0,13.9,0.4,146.0,39.8,7.0,30.0
107,Côte d'Ivoire,2233.0,0.2,6161.2,70.0,0.2,-1.03,130.0,48.4,12.0,8.0
108,Kazakhstan,2347.0,0.6,33251.4,33.0,0.8,-0.26,144.0,-66.1,7.0,69.0
109,Jamaïque,2504.0,0.0,9211.8,38.0,2.8,0.26,115.0,99.0,67.0,35.0
11,Autriche,2535.0,5.9,61108.4,26.0,1.2,0.89,150.0,20.3,7.0,30.0
110,Japon,2422.0,0.0,42988.5,39.0,6.6,1.03,111.0,66.7,7.0,25.0
112,Jordanie,2355.0,0.0,8970.2,42.0,1.2,-0.27,109.0,99.5,43.0,46.0
113,Kirghizistan,2311.0,0.2,5661.3,49.0,5.3,-0.46,118.0,26.2,31.0,39.0
114,Kenya,2254.0,0.0,5079.9,53.0,0.3,-1.01,99.0,47.8,42.0,51.0
115,Cambodge,2295.0,0.0,4584.2,76.0,1.5,-0.21,122.0,-2.4,6.0,40.0
116,République populaire démocratique de Corée,2411.0,0.0,0.0,0.0,12.1,-0.38,84.0,0.0,318.0,30.0
117,République de Corée,2469.0,4.3,46506.9,34.0,7.3,0.61,137.0,76.9,4.0,16.0
118,Koweït,2482.0,0.0,46380.2,40.0,1.0,0.23,140.0,93.5,8.0,25.0
119,Lettonie,2453.0,2.9,34168.9,29.0,0.0,0.46,133.0,-219.4,16.0,14.0
12,Bahamas,2499.0,0.0,24799.0,26.0,0.1,0.83,0.0,99.4,76.0,0.0
120,République démocratique populaire lao,2354.0,0.0,8025.2,68.0,1.9,0.69,116.0,-1.0,13.0,22.0
121,Liban,2360.0,0.0,12594.6,41.0,8.8,-1.62,123.0,87.0,51.0,18.0
122,Lesotho,2299.0,0.0,2440.9,67.0,0.1,-0.25,0.0,100.0,30.0,0.0
123,Libéria,2213.0,0.0,1513.8,72.0,0.0,-0.31,95.0,71.8,60.0,25.0
124,Libye,2384.0,0.0,11660.6,41.0,0.2,-2.46,133.0,92.5,16.0,12.0
