Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","004","Afghanistan","6110","Value US$","22008","Gross Domestic Product","2020","2020","millions","20143.44179","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","US$","516.866543","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","6.553742","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6110","Value US$","22011","Gross National Income","2020","2020","millions","20332.38376","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22011","Gross National Income","2020","2020","US$","521.714661","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6129","Annual growth US$","22011","Gross National Income","2020","2020","%","5.870179","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2020","2020","millions","15131.86627","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","US$","5278.222282","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-1.752778","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22011","Gross National Income","2020","2020","millions","14880.07235","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6119","Value US$ per capita","22011","Gross National Income","2020","2020","US$","5190.39278","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22011","Gross National Income","2020","2020","%","-2.106334","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6110","Value US$","22008","Gross Domestic Product","2020","2020","millions","145743.543","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","US$","3354.153164","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-15.147118","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6110","Value US$","22011","Gross National Income","2020","2020","millions","143043.2847","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6119","Value US$ per capita","22011","Gross National Income","2020","2020","US$","3292.009211","X","Figure from international organizations",""
