Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","38972.23","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","19692.301","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","19279.93","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","28150.604","X","Figure from international organizations",""
"OA","Annual population","004","Afghanistan","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","9904.337","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2866.849","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","1433.767","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","1433.082","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1114.672","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1827.362","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","43451.666","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","22132.899","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","21318.767","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","11382.345","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","31950.91","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","46.189","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","22.921","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","23.268","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","7.169","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","48.63","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","77.7","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","39.615","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","38.084","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","9.327","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","67.857","X","Figure from international organizations",""
"OA","Annual population","024","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","33428.486","X","Figure from international organizations",""
"OA","Annual population","024","Angola","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","16517.497","X","Figure from international organizations",""
"OA","Annual population","024","Angola","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","16910.989","X","Figure from international organizations",""
"OA","Annual population","024","Angola","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","10890.448","X","Figure from international organizations",""
"OA","Annual population","024","Angola","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","21936.953","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","15.585","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","7.644","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","7.941","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","0","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","15.283","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","92.664","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","44.236","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","48.428","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","79.428","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","25.682","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","45036.032","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","22297.001","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","22739.031","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","3590.542","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","41919.857","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2805.608","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","1265.512","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","1540.097","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1078.125","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1860.554","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","106.585","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","50.211","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","56.373","X","Figure from international organizations",""
