Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","004","Afghanistan","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","31341","T","Unofficial figure"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import Value","02151","Chickens","2020","2020","1000 US$","10666","T","Unofficial figure"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","1.23","T","Unofficial figure"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import Value","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","1000 US$","4","T","Unofficial figure"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","35617.07","T","Unofficial figure"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","40590","T","Unofficial figure"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0.24","T","Unofficial figure"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","1","T","Unofficial figure"
"TCL","Crops and livestock products","008","Albania","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","644","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","02151","Chickens","2020","2020","1000 US$","4591","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","2469.93","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","1000 US$","1960","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","23503.19","A","Official figure"
"TCL","Crops and livestock products","008","Albania","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","23709","A","Official figure"
"TCL","Crops and livestock products","012","Algeria","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","5248","T","Unofficial figure"
