Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5610","Import Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","1.23","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5141","Food supply quantity (tonnes)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","1.23","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","kcal/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","665","Food supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","684","Fat supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","261","Calories/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","million kcal","1.53","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","271","Proteins/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0.22","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","281","Fats/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0.05","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21511.03","Fat of poultry","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5113","Opening stocks","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","3183.07","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","27938.44","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","35616.91","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5071","Stock Variation","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","-2471.01","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0.24","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5166","Residuals","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5141","Food supply quantity (tonnes)","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","66026.13","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","kcal/capita/day","5.9","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","665","Food supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","4.65","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/capita/day","0.6","I","Imputed value"
