Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","I$","1970.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","index","-2.73","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","008","Albania","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","008","Albania","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","I$","13253.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","index","0.08","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","012","Algeria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","012","Algeria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","I$","10735.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","012","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","index","-0.86","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","016","American Samoa","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","index","1.17","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","020","Andorra","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","index","1.62","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","024","Angola","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","024","Angola","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","I$","6142","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","024","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","index","-0.52","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","I$","17293.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","index","0.93","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","032","Argentina","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","032","Argentina","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","I$","19690.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","032","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","index","0.04","X","Figure from international organizations",""
