Entity,Code,Year,Animal Products | 00002941 || Food available for consumption | 0674pc || grams of protein per day per capita,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2020,10.448221,1970.560181,38972236,
Albania,ALB,2020,59.114933,13191.95215,2866850,
Algeria,DZA,2020,24.795826,10735.38281,43451668,
American Samoa,ASM,2020,,,46216,
Andorra,AND,2020,,,77723,
Angola,AGO,2020,12.004645,6110.274414,33428490,
Anguilla,AIA,2020,,,15612,
Antigua and Barbuda,ATG,2020,57.4654,17293.30273,92672,
Argentina,ARG,2020,68.49207,19690.66211,45036032,
Armenia,ARM,2020,48.53165,12619.89258,2805610,
Aruba,ABW,2020,,,106597,
Australia,AUS,2020,74.88029,48678.68359,25670052,
Austria,AUT,2020,63.222286,51857.69141,8907780,
Azerbaijan,AZE,2020,35.21373,13726.76953,10284952,
Bahamas,BHS,2020,48.584457,30846.58398,406478,
Bahrain,BHR,2020,60.49768,41480.57813,1477478,
Bangladesh,BGD,2020,12.817408,4871.446289,167420944,
Barbados,BRB,2020,50.984398,12655.40137,280704,
Belarus,BLR,2020,60.92099,19186.77539,9633745,
Belgium,BEL,2020,65.76835,48769.72656,11561716,
Belize,BLZ,2020,32.09787,6121.843262,394931,
Benin,BEN,2020,11.180508,3323.144531,12643121,
Bermuda,BMU,2020,,76626.52344,64051,
Bhutan,BTN,2020,31.423265,10551.45215,772512,
Bolivia,BOL,2020,33.876312,7845.170898,11936169,
Bonaire Sint Eustatius and Saba,BES,2020,,,26178,
Bosnia and Herzegovina,BIH,2020,36.60065,14509.26563,3318410,
Botswana,BWA,2020,26.717148,14654.65137,2546404,
Brazil,BRA,2020,55.603397,14063.98242,213196304,
British Virgin Islands,VGB,2020,,,30934,
Brunei,BRN,2020,,62200.88281,441736,
Bulgaria,BGR,2020,40.75967,22379.09375,6979181,
Burkina Faso,BFA,2020,18.249275,2155.769287,21522632,
Burundi,BDI,2020,2.6953228,731.0632324,12220229,
Cambodia,KHM,2020,20.178764,4191.566406,16396864,
Cameroon,CMR,2020,11.513755,3666.410645,26491090,
Canada,CAN,2020,59.379425,46064.25391,37888704,
Cape Verde,CPV,2020,23.293243,6045.061035,582646,
Cayman Islands,CYM,2020,,67871.19531,67327,
Central African Republic,CAF,2020,18.241497,936.2875977,5343024,
Chad,TCD,2020,27.108818,1519.036743,16644707,
Chile,CHL,2020,47.888756,23324.52539,19300318,
China,CHN,2020,42.030323,16315.81543,1424929792,
Colombia,COL,2020,37.75456,13448.93262,50930656,
Comoros,COM,2020,20.44105,2989.17041,806168,
Congo,COG,2020,24.870285,3433.958984,5702183,
Cook Islands,COK,2020,,,17050,
Costa Rica,CRI,2020,48.464226,19903.14063,5123107,
Cote d'Ivoire,CIV,2020,15.446145,5181.311035,26811792,
Croatia,HRV,2020,56.204975,27076.97852,4096872,
Cuba,CUB,2020,37.054813,,11300695,
Curacao,CUW,2020,,20309.09766,189298,
Cyprus,CYP,2020,52.01968,38816.09375,1237540,
Czechia,CZE,2020,57.770393,38511.26953,10530951,
Democratic Republic of Congo,COD,2020,3.1637197,1082.44519,92853168,
Denmark,DNK,2020,72.74008,55819.91016,5825638,
Djibouti,DJI,2020,11.346718,5481.114746,1090162,
Dominica,DMA,2020,44.257088,10288.86719,72011,
Dominican Republic,DOM,2020,32.475677,17003.01367,10999668,
Ecuador,ECU,2020,30.163097,10329.19922,17588596,
Egypt,EGY,2020,21.216282,11951.44727,107465128,
El Salvador,SLV,2020,30.190504,7982.625977,6292734,
Equatorial Guinea,GNQ,2020,,17007.625,1596057,
Eritrea,ERI,2020,,,3555869,
Estonia,EST,2020,69.11843,35257.16016,1329449,
Eswatini,SWZ,2020,17.559677,8404.727539,1180663,
Ethiopia,ETH,2020,7.730233,2296.827393,117190920,
Faeroe Islands,FRO,2020,,,52440,
Falkland Islands,FLK,2020,,,3764,
Fiji,FJI,2020,29.715122,11450.75098,920430,
Finland,FIN,2020,74.731766,47154.42578,5529468,
France,FRA,2020,76.73276,42320.52344,64480052,
French Guiana,GUF,2020,,,290978,
French Polynesia,PYF,2020,58.873547,,301935,
Gabon,GAB,2020,37.930695,14320.84473,2292583,
Gambia,GMB,2020,17.387972,2156.754639,2574005,
Georgia,GEO,2020,35.517788,13966.32617,3765912,
Germany,DEU,2020,67.587,51423.23438,83328992,
Ghana,GHA,2020,15.97079,5445.725586,32180402,
Gibraltar,GIB,2020,,,32739,
Greece,GRC,2020,60.16521,27072.61914,10512232,
Greenland,GRL,2020,,,56049,
Grenada,GRD,2020,45.63687,14488.53223,123672,
Guadeloupe,GLP,2020,,,395649,
Guam,GUM,2020,,,169245,
Guatemala,GTM,2020,25.362663,8393.28418,17362716,
Guernsey,GGY,2020,,,62823,
Guinea,GIN,2020,11.486712,2670.823242,13205157,
